trialNum,firstVal,secondVal,firstIsChosen,decisionRT,firstFixLat,secondFixLat,thirdFixLat
555,3,3,0,0.836858183145523,0.133,0.377,NaN
557,3,3,0,0.847358336672187,0.179,0.419,NaN
565,3,4,0,0.907053044065833,0.183,0.443,NaN
592,3,2,0,0.737110055983067,0.202,0.41,NaN
5,4,3,1,0.697348279878497,0.143,0.415,0.591
25,4,1,1,0.75723728351295,0.241,0.473,0.637
26,4,5,0,0.877304960042238,0.162,0.442,NaN
28,4,3,1,0.827580342069268,0.16,0.424,0.664
37,4,1,1,0.797394080087543,0.155,0.431,0.627
68,4,1,1,0.807123314589262,0.143,0.391,0.647
74,4,1,1,0.967331433668733,0.241,0.493,0.741
79,4,3,1,0.777771294116974,0.223,0.611,NaN
84,4,1,1,0.868017273023725,0.19,0.426,0.69
115,4,1,1,0.807019185274839,0.157,0.421,0.637
138,4,1,1,0.887258820235729,0.153,0.425,0.681
139,4,2,1,0.917112600058317,0.206,0.434,0.694
197,4,1,1,0.967017710208893,0.178,0.47,0.79
207,4,5,0,0.957009656354785,0.17,0.478,NaN
228,4,1,1,0.887358648702502,0.179,0.435,0.675
247,4,5,0,1.15708567015827,0.268,0.688,NaN
251,4,2,1,0.877104960381985,0.161,0.417,0.693
288,4,4,1,0.98701830022037,0.17,0.43,0.734
289,4,5,0,1.13726612366736,0.203,0.587,NaN
306,4,5,1,0.86689506098628,0.191,0.603,0.811
335,4,5,0,0.816851457580924,0.152,0.396,0.652
339,4,2,1,0.867247151210904,0.206,0.438,0.682
348,4,1,1,0.838063137605786,0.159,0.407,0.671
365,4,3,1,0.848218588158488,0.141,0.417,0.745
370,4,5,0,1.02706797793508,0.26,0.524,NaN
383,4,5,0,1.06692941300571,0.172,0.432,0.808
384,4,3,0,0.88716796040535,0.132,0.428,NaN
389,4,4,1,0.777250090613961,0.179,0.463,0.691
390,4,3,1,0.836911376565695,0.179,0.399,0.627
392,4,3,1,0.81727721169591,0.206,0.47,0.702
415,4,3,0,1.11708753742278,0.248,0.6,NaN
428,4,3,1,0.927233535796404,0.167,0.443,0.755
436,4,4,1,0.94701661542058,0.161,0.517,0.789
438,4,2,1,0.847185572609305,0.199,0.411,0.651
442,4,3,1,0.820869652554393,0.172,0.44,0.704
448,4,1,1,0.882493318989873,0.219,0.471,0.723
457,4,5,1,0.787207160145044,0.163,0.411,0.643
461,4,1,1,0.730208402499557,0.166,0.434,0.634
486,4,5,0,0.887030059471726,0.162,0.506,NaN
529,4,3,1,0.997388208284974,0.144,0.436,0.96
538,4,5,0,0.866845916956663,0.15,0.406,NaN
541,4,5,1,0.727107608690858,0.215,0.487,0.691
544,4,5,0,0.837103743106127,0.149,0.421,NaN
547,4,1,1,0.936980545520782,0.236,0.48,0.748
551,4,2,1,0.797328151762486,0.159,0.395,0.643
554,4,4,1,0.946837289258838,0.161,0.477,0.737
571,4,4,1,0.917293339967728,0.168,0.42,0.712
575,4,3,1,0.974816052243114,0.248,0.512,0.856
577,4,4,0,0.937337901443243,0.19,0.438,NaN
579,4,5,0,0.867356089875102,0.171,0.419,NaN
584,4,5,0,0.797018095850945,0.158,0.402,NaN
587,4,3,1,0.88813902810216,0.227,0.487,0.735
590,4,1,1,0.757167648524046,0.154,0.45,0.65
591,4,3,1,0.967468472197652,0.14,0.396,0.756
603,4,3,1,0.867003409191966,0.176,0.436,0.68
8,4,1,0,0.696948036551476,0.133,0.389,NaN
20,4,2,0,0.877232361584902,0.242,0.462,NaN
